gene
ENSDARG00000000212
ENSDARG00000001870
ENSDARG00000002165
ENSDARG00000002193
ENSDARG00000002445
ENSDARG00000002601
ENSDARG00000002696
ENSDARG00000002768
ENSDARG00000002968
ENSDARG00000003203
ENSDARG00000003701
ENSDARG00000003808
ENSDARG00000003902
ENSDARG00000004232
ENSDARG00000004256
ENSDARG00000004964
ENSDARG00000005023
ENSDARG00000005320
ENSDARG00000006010
ENSDARG00000006110
ENSDARG00000006220
ENSDARG00000006409
ENSDARG00000006427
ENSDARG00000006467
ENSDARG00000006580
ENSDARG00000006754
ENSDARG00000006939
ENSDARG00000007024
ENSDARG00000007184
ENSDARG00000007277
ENSDARG00000007329
ENSDARG00000007382
ENSDARG00000007795
ENSDARG00000007891
ENSDARG00000007944
ENSDARG00000007982
ENSDARG00000008306
ENSDARG00000008333
ENSDARG00000008403
ENSDARG00000008637
ENSDARG00000008796
ENSDARG00000009018
ENSDARG00000009438
ENSDARG00000009637
ENSDARG00000010347
ENSDARG00000010420
ENSDARG00000010680
ENSDARG00000011245
ENSDARG00000011373
ENSDARG00000011573
ENSDARG00000011701
ENSDARG00000011785
ENSDARG00000011862
ENSDARG00000011876
ENSDARG00000012044
ENSDARG00000012499
ENSDARG00000012640
ENSDARG00000012694
ENSDARG00000012788
ENSDARG00000012881
ENSDARG00000013576
ENSDARG00000013856
ENSDARG00000014018
ENSDARG00000014031
ENSDARG00000014196
ENSDARG00000014358
ENSDARG00000014646
ENSDARG00000014722
ENSDARG00000014840
ENSDARG00000015822
ENSDARG00000015879
ENSDARG00000015906
ENSDARG00000015955
ENSDARG00000016470
ENSDARG00000017274
ENSDARG00000017441
ENSDARG00000017821
ENSDARG00000017917
ENSDARG00000018260
ENSDARG00000018283
ENSDARG00000018383
ENSDARG00000018491
ENSDARG00000018846
ENSDARG00000018971
ENSDARG00000019122
ENSDARG00000019228
ENSDARG00000019335
ENSDARG00000019365
ENSDARG00000019747
ENSDARG00000019763
ENSDARG00000020219
ENSDARG00000020364
ENSDARG00000020574
ENSDARG00000020811
ENSDARG00000020926
ENSDARG00000020956
ENSDARG00000021004
ENSDARG00000021201
ENSDARG00000021494
ENSDARG00000021566
ENSDARG00000021787
ENSDARG00000022372
ENSDARG00000022670
ENSDARG00000022807
ENSDARG00000023111
ENSDARG00000023157
ENSDARG00000023188
ENSDARG00000023656
ENSDARG00000025372
ENSDARG00000025703
ENSDARG00000026296
ENSDARG00000026616
ENSDARG00000026726
ENSDARG00000026871
ENSDARG00000027495
ENSDARG00000027744
ENSDARG00000027750
ENSDARG00000029695
ENSDARG00000029832
ENSDARG00000029995
ENSDARG00000030176
ENSDARG00000030215
ENSDARG00000030270
ENSDARG00000030449
