gene
ENSXETG00000006462
ENSXETG00000008374
ENSXETG00000021399
ENSXETG00000021410
ENSXETG00000007612
ENSXETG00000016233
ENSXETG00000005227
ENSXETG00000011431
ENSXETG00000012749
ENSXETG00000002762
ENSXETG00000010496
ENSXETG00000014733
ENSXETG00000020880
ENSXETG00000021425
ENSXETG00000016434
ENSXETG00000019989
ENSXETG00000019172
ENSXETG00000002932
ENSXETG00000012567
ENSXETG00000014655
ENSXETG00000006073
ENSXETG00000018992
ENSXETG00000006935
ENSXETG00000003199
ENSXETG00000003681
ENSXETG00000012470
ENSXETG00000003244
ENSXETG00000020306
ENSXETG00000005436
ENSXETG00000017295
ENSXETG00000000129
ENSXETG00000006754
ENSXETG00000015058
ENSXETG00000018672
ENSXETG00000009870
ENSXETG00000012994
ENSXETG00000016215
ENSXETG00000003283
ENSXETG00000001960
ENSXETG00000009581
ENSXETG00000013189
ENSXETG00000013035
ENSXETG00000009145
ENSXETG00000019701
ENSXETG00000011573
ENSXETG00000010515
ENSXETG00000008261
ENSXETG00000003251
ENSXETG00000017927
ENSXETG00000003751
ENSXETG00000010793
ENSXETG00000002476
ENSXETG00000004779
ENSXETG00000021044
ENSXETG00000007549
ENSXETG00000008879
ENSXETG00000011640
ENSXETG00000005619
ENSXETG00000000341
ENSXETG00000017463
ENSXETG00000019170
ENSXETG00000016147
ENSXETG00000011986
ENSXETG00000020565
ENSXETG00000016116
ENSXETG00000005489
ENSXETG00000005723
ENSXETG00000018409
ENSXETG00000017371
ENSXETG00000020886
ENSXETG00000016364
ENSXETG00000018114
ENSXETG00000000018
ENSXETG00000014293
ENSXETG00000008476
ENSXETG00000014847
ENSXETG00000009590
ENSXETG00000001882
ENSXETG00000013327
ENSXETG00000017496
ENSXETG00000020227
ENSXETG00000006218
ENSXETG00000002061
ENSXETG00000021153
ENSXETG00000004015
ENSXETG00000014683
ENSXETG00000020411
ENSXETG00000007697
ENSXETG00000004108
ENSXETG00000003640
