original_time	inferred_time
240.0	180.0
270.0	259.8
300.0	259.8
330.0	259.8
360.0	259.8
390.0	259.8
420.0	259.8
450.0	259.8
480.0	259.8
510.0	259.8
540.0	259.8
570.0	259.8
600.0	259.8
630.0	259.8
660.0	259.8
690.0	259.8
720.0	259.8
750.0	259.8
780.0	315.0
810.0	315.0
840.0	315.0
870.0	315.0
900.0	315.0
930.0	2880.0
960.0	2880.0
990.0	2880.0
1020.0	2880.0
1050.0	2880.0
1080.0	2880.0
1110.0	2880.0
1140.0	2880.0
1170.0	2880.0
1200.0	2880.0
1230.0	2880.0
1260.0	2880.0
1290.0	2880.0
1320.0	2880.0
1350.0	2880.0
1380.0	2880.0
1410.0	2880.0
1440.0	2880.0
1500.0	2880.0
1560.0	2880.0
1620.0	2880.0
1680.0	2880.0
1740.0	2880.0
1800.0	2880.0
1860.0	2880.0
1920.0	2880.0
1980.0	2880.0
2040.0	2880.0
2100.0	2880.0
2160.0	2880.0
