original_time	inferred_time
40.0	81.0
80.0	81.0
120.0	99.0
160.0	99.0
200.0	99.0
240.0	99.0
280.0	99.0
320.0	99.0
360.0	219.9
400.0	219.9
440.0	219.9
480.0	219.9
520.0	549.9
560.0	577.86
600.0	577.86
640.0	577.86
680.0	960.0
720.0	960.0
760.0	960.0
800.0	960.0
840.0	996.0
880.0	996.0
920.0	996.0
960.0	996.0
1000.0	996.0
1040.0	1014.0
1080.0	1014.0
1120.0	1032.0
1160.0	1032.0
1200.0	1050.0
1240.0	1068.0
1280.0	1068.0
1320.0	1086.0
1360.0	1086.0
1400.0	1086.0
1440.0	2124.0
1480.0	2124.0
1520.0	2124.0
1560.0	2124.0
1600.0	2124.0
1640.0	2124.0
1680.0	2124.0
1720.0	2124.0
1760.0	2124.0
1800.0	2124.0
1840.0	2124.0
1880.0	2124.0
1920.0	2124.0
1960.0	2124.0
2000.0	2124.0
2040.0	2124.0
2080.0	2160.0
2120.0	2160.0
2160.0	2160.0
2200.0	2160.0
2240.0	2160.0
2280.0	2160.0
2320.0	2160.0
2360.0	2160.0
2400.0	2160.0
2440.0	2160.0
2480.0	2160.0
2520.0	2160.0
2560.0	2160.0
2600.0	2160.0
2640.0	2160.0
2680.0	2232.0
2720.0	2232.0
2760.0	2232.0
2800.0	2232.0
2840.0	2232.0
2880.0	2232.0
2920.0	2232.0
2960.0	2232.0
3000.0	2232.0
3040.0	2304.0
3080.0	2304.0
3120.0	2304.0
3160.0	2304.0
3200.0	2304.0
3240.0	2304.0
3280.0	2304.0
3320.0	2304.0
3360.0	2304.0
3400.0	2304.0
3440.0	2304.0
3480.0	2304.0
3520.0	2304.0
3560.0	2304.0
3600.0	2304.0
3640.0	2304.0
3680.0	2304.0
3720.0	2304.0
3760.0	2304.0
3800.0	2304.0
3840.0	2304.0
3880.0	2304.0
3920.0	2376.0
3960.0	2376.0
4000.0	2376.0
4040.0	2376.0
4080.0	2376.0
4120.0	2376.0
4160.0	2376.0
4200.0	2376.0
4240.0	2376.0
