original_time	inferred_time
0.0	0.0
45.0	42.19
135.0	126.56
180.0	168.75
259.8	253.12
315.0	309.38
360.0	351.56
480.0	450.0
619.8	618.75
960.0	956.25
1140.0	1139.06
1440.0	1434.38
1800.0	1729.69
2160.0	2151.56
2880.0	2714.06
4320.0	4317.19
5760.0	5751.56
7200.0	6482.81
