annotated_time	inferred_time	samples
240	249.0	['GSM919943']
300	327.0	['GSM919944']
390	420.0	['GSM919945']
480	516.0	['GSM919946']
720	651.0	['GSM919947', 'GSM919948']
900	882.0	['GSM919949']
930	936.0	['GSM919950']
960	1092.0	['GSM919951']
1050	1143.0	['GSM919952']
1140	1287.0	['GSM919953', 'GSM919954']
1620	1578.0	['GSM919955']
1800	1968.0	['GSM919956']
1980	2100.0	['GSM919957']
