annotated_time	inferred_time
240.0	270.84
243.0	270.84
246.0	270.84
249.0	270.84
252.0	270.84
255.0	270.84
258.0	270.84
261.0	270.84
264.0	270.84
267.0	270.84
270.0	270.84
273.0	270.84
276.0	270.84
279.0	270.84
282.0	270.84
285.0	270.84
288.0	270.84
291.0	270.84
294.0	270.84
297.0	270.84
300.0	270.84
303.0	270.84
306.0	270.84
309.0	270.84
312.0	270.84
315.0	270.84
318.0	270.84
321.0	270.84
324.0	270.84
327.0	270.84
330.0	270.84
333.0	270.84
336.0	270.84
339.0	292.92
342.0	298.44
345.0	298.44
348.0	298.44
351.0	298.44
354.0	298.44
357.0	303.96
360.0	303.96
363.0	303.96
366.0	303.96
369.0	303.96
372.0	303.96
375.0	303.96
378.0	303.96
381.0	303.96
384.0	303.96
387.0	303.96
390.0	303.96
393.0	303.96
396.0	333.0
399.0	333.0
402.0	333.0
405.0	333.0
408.0	333.0
411.0	333.0
414.0	333.0
417.0	333.0
420.0	333.0
423.0	333.0
426.0	333.0
429.0	333.0
432.0	333.0
435.0	333.0
438.0	333.0
441.0	333.0
444.0	333.0
447.0	333.0
450.0	333.0
453.0	333.0
456.0	333.0
459.0	333.0
462.0	333.0
465.0	337.5
468.0	337.5
471.0	337.5
474.0	337.5
477.0	337.5
480.0	337.5
483.0	337.5
486.0	337.5
489.0	342.0
492.0	355.5
495.0	355.5
498.0	355.5
501.0	355.5
504.0	355.5
507.0	355.5
510.0	384.0
513.0	384.0
516.0	384.0
519.0	384.0
522.0	384.0
525.0	396.0
528.0	396.0
531.0	396.0
534.0	396.0
537.0	396.0
540.0	396.0
543.0	396.0
546.0	396.0
549.0	396.0
552.0	396.0
555.0	396.0
558.0	396.0
561.0	396.0
564.0	396.0
567.0	396.0
570.0	396.0
573.0	396.0
576.0	396.0
579.0	396.0
582.0	396.0
585.0	396.0
588.0	396.0
591.0	396.0
594.0	396.0
597.0	408.0
600.0	521.94
603.0	521.94
606.0	521.94
609.0	549.9
612.0	549.9
615.0	549.9
618.0	549.9
621.0	549.9
624.0	549.9
627.0	549.9
630.0	549.9
633.0	563.88
636.0	563.88
639.0	563.88
642.0	563.88
645.0	563.88
648.0	563.88
651.0	563.88
654.0	563.88
657.0	563.88
660.0	563.88
663.0	605.82
666.0	605.82
669.0	605.82
672.0	605.82
675.0	605.82
678.0	605.82
681.0	605.82
684.0	619.8
687.0	619.8
690.0	755.88
693.0	755.88
696.0	857.94
699.0	857.94
702.0	857.94
705.0	857.94
708.0	857.94
711.0	857.94
714.0	857.94
717.0	857.94
720.0	857.94
