sample	time
GSM2837572	64-cell
GSM2837576	Shield
GSM2837578	75pc-epiboly
GSM2837568	5-9-somites
GSM2837569	14-19-somites
GSM2837570	20-25-somites
GSM2837571	Prim-5
GSM2837573	Prim-15
GSM2837574	Prim-25
GSM2837575	Long-pec
GSM2837577	Protruding-mouth
