sample	assembly	replicate	condition	batch	source	original_timepoint	mpf	hpf	stage
GSM1606225	Xenopus_tropicalis_v9.1		stage27	owens_clutchA_polyA_run1	owens	ClutchA_polyA_26_hpf	1560	26.0	stage27
GSM1606226	Xenopus_tropicalis_v9.1		stage28	owens_clutchA_polyA_run1	owens	ClutchA_polyA_27_hpf	1620	27.0	stage28
GSM1606227	Xenopus_tropicalis_v9.1		stage28	owens_clutchA_polyA_run1	owens	ClutchA_polyA_28_hpf	1680	28.0	stage28
GSM1606228	Xenopus_tropicalis_v9.1		stage30	owens_clutchA_polyA_run1	owens	ClutchA_polyA_29_hpf	1740	29.0	stage30
GSM1606229	Xenopus_tropicalis_v9.1		stage31	owens_clutchA_polyA_run1	owens	ClutchA_polyA_30_hpf	1800	30.0	stage31
GSM1606230	Xenopus_tropicalis_v9.1		stage32	owens_clutchA_polyA_run1	owens	ClutchA_polyA_31_hpf	1860	31.0	stage32
GSM1606231	Xenopus_tropicalis_v9.1		stage32	owens_clutchA_polyA_run1	owens	ClutchA_polyA_32_hpf	1920	32.0	stage32
GSM1606232	Xenopus_tropicalis_v9.1		stage34	owens_clutchA_polyA_run1	owens	ClutchA_polyA_33_hpf	1980	33.0	stage34
GSM1606233	Xenopus_tropicalis_v9.1		stage34	owens_clutchA_polyA_run1	owens	ClutchA_polyA_34_hpf	2040	34.0	stage34
GSM1606234	Xenopus_tropicalis_v9.1		stage34	owens_clutchA_polyA_run1	owens	ClutchA_polyA_35_hpf	2100	35.0	stage34
GSM1606235	Xenopus_tropicalis_v9.1		stage35	owens_clutchA_polyA_run1	owens	ClutchA_polyA_36_hpf	2160	36.0	stage35
GSM1606265	Xenopus_tropicalis_v9.1		stage12.5	owens_clutchA_polyA_run2	owens	ClutchA_polyA_11.5_hpf_repeat	690	11.5	stage12.5
GSM1606266	Xenopus_tropicalis_v9.1		stage25	owens_clutchA_polyA_run2	owens	ClutchA_polyA_21.5_hpf_repeat	1290	21.5	stage25
GSM1606267	Xenopus_tropicalis_v9.1		stage31	owens_clutchA_polyA_run2	owens	ClutchA_polyA_30_hpf_repeat	1800	30.0	stage31
GSM1606268	Xenopus_tropicalis_v9.1		stage34	owens_clutchA_polyA_run2	owens	ClutchA_polyA_33_hpf_repeat	1980	33.0	stage34
GSM1606272	Xenopus_tropicalis_v9.1		stage9	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_5_hpf	300	5.0	stage9
GSM1606274	Xenopus_tropicalis_v9.1		stage9	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_5.5_hpf	330	5.5	stage9
GSM1606275	Xenopus_tropicalis_v9.1		stage9	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_6_hpf	360	6.0	stage9
GSM1606276	Xenopus_tropicalis_v9.1		stage10	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_6.5_hpf	390	6.5	stage10
GSM1606277	Xenopus_tropicalis_v9.1		stage10	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_7_hpf	420	7.0	stage10
GSM1606278	Xenopus_tropicalis_v9.1		stage10	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_7.5_hpf	450	7.5	stage10
GSM1606279	Xenopus_tropicalis_v9.1		stage11	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_8_hpf	480	8.0	stage11
GSM1606280	Xenopus_tropicalis_v9.1		stage12	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_8.5_hpf	510	8.5	stage12
GSM1606281	Xenopus_tropicalis_v9.1		stage12	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_9_hpf	540	9.0	stage12
GSM1606282	Xenopus_tropicalis_v9.1		stage12	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_9.5_hpf	570	9.5	stage12
GSM1606283	Xenopus_tropicalis_v9.1		stage12	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_10_hpf	600	10.0	stage12
GSM1606285	Xenopus_tropicalis_v9.1		stage12.5	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_10.5_hpf	630	10.5	stage12.5
GSM1606286	Xenopus_tropicalis_v9.1		stage12.5	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_11_hpf	660	11.0	stage12.5
GSM1606287	Xenopus_tropicalis_v9.1		stage12.5	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_11.5_hpf	690	11.5	stage12.5
GSM1606288	Xenopus_tropicalis_v9.1		stage13	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_12_hpf	720	12.0	stage13
GSM1606289	Xenopus_tropicalis_v9.1		stage13	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_12.5_hpf	750	12.5	stage13
GSM1606290	Xenopus_tropicalis_v9.1		stage13	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_13_hpf	780	13.0	stage13
GSM1606291	Xenopus_tropicalis_v9.1		stage14	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_13.5_hpf	810	13.5	stage14
GSM1606292	Xenopus_tropicalis_v9.1		stage14	owens_clutchA_ribozero_run1	owens	ClutchA_ribozero_14_hpf	840	14.0	stage14
