gene	r2	delta
ENSDARG00000000001	0.933175632413243	2.898678041801343
ENSDARG00000000002	0.9477017513607651	6.160784407520055
ENSDARG00000000018	0.9750462937706016	7.742962049916982
ENSDARG00000000019	0.9458533147981434	4.5393079962570315
ENSDARG00000000068	0.9772160900679605	7.653102981178258
ENSDARG00000000069	0.9429341188200833	4.143843267022713
ENSDARG00000000086	0.617853041261621	3.3243521051366973
ENSDARG00000000103	0.9787397825490057	4.748469701952578
ENSDARG00000000142	0.7618756265166828	4.438236704142253
ENSDARG00000000151	0.8861799087939878	3.867864540394718
ENSDARG00000000161	0.7655760339494266	3.9798687821554424
ENSDARG00000000175	0.9654277207263072	11.240451501865492
ENSDARG00000000183	0.9796546693631019	6.21528953737449
ENSDARG00000000189	0.9798734926033943	6.525688050888862
ENSDARG00000000212	0.9978173648195755	16.62673394720185
ENSDARG00000000229	0.9263029800687494	4.179235405451407
ENSDARG00000000241	0.9919565297366592	6.020269326026982
ENSDARG00000000324	0.9151521743917391	3.6196592979972344
ENSDARG00000000369	0.8493837173367049	4.381618838913278
ENSDARG00000000370	0.9395856218377119	4.950916072205511
ENSDARG00000000380	0.8547624185592345	8.293587608968501
ENSDARG00000000394	0.9507899591234815	3.2088091055712997
ENSDARG00000000423	0.9151015294810029	5.579902405567244
ENSDARG00000000442	0.9610854607059449	5.499579578519976
ENSDARG00000000472	0.8890170742101245	6.509670725057291
ENSDARG00000000476	0.9637314092402233	3.610076895908405
ENSDARG00000000489	0.9033428034837372	4.300693914882733
ENSDARG00000000503	0.9939420137819684	7.852271228872113
ENSDARG00000000529	0.9903891300407284	7.788583140293434
ENSDARG00000000540	0.8990863682668188	2.6907040681325065
ENSDARG00000000542	0.9485674287136042	3.9381029963785394
ENSDARG00000000551	0.9663212435975288	9.57817584851669
ENSDARG00000000563	0.9980713728980736	6.472361116524015
ENSDARG00000000567	0.9925901010123516	9.26017724640599
ENSDARG00000000568	0.9904796376392446	6.729252392253336
ENSDARG00000000588	0.9533566711432468	8.082968130290327
ENSDARG00000000631	0.9098792252985017	7.663262893303861
ENSDARG00000000651	0.7986340213828589	3.724826478018074
ENSDARG00000000666	0.9680782995946497	7.313183686455011
ENSDARG00000000690	0.9360078329256519	7.4086318350464815
ENSDARG00000000729	0.9591340438076029	4.630576260629138
ENSDARG00000000730	0.9613593878315624	7.330070130997662
ENSDARG00000000747	0.9756993037045663	5.2020124775516265
ENSDARG00000000760	0.7706205057381186	2.2011081119075775
ENSDARG00000000767	0.8024578352137739	4.8539700749859875
ENSDARG00000000779	0.704891801864437	2.4749789145010297
ENSDARG00000000796	0.9745806987498072	10.378794616282054
ENSDARG00000000804	0.8938987008948089	5.5292334617936625
ENSDARG00000000830	0.9497602887313185	4.881196505316515
ENSDARG00000000837	0.9637457430625226	6.321281601724118
ENSDARG00000000853	0.9457370453753714	3.1859465629075476
ENSDARG00000000857	0.9675510782440481	4.103994261581847
ENSDARG00000000861	0.6945825583510421	2.3769543068921113
ENSDARG00000000887	0.9901432308022693	9.630387862621092
ENSDARG00000000906	0.716253078105233	2.330162626180274
ENSDARG00000000935	0.9205095774728672	4.455915982419098
ENSDARG00000000943	0.979946914904575	8.145669237185917
ENSDARG00000000966	0.968716905803576	6.247519577945195
ENSDARG00000001014	0.9416129065205201	5.2630994032781295
ENSDARG00000001015	0.7994734021602792	3.0512047313313757
ENSDARG00000001057	0.9785435368645181	6.596371367039276
ENSDARG00000001127	0.9407327479067961	5.0541700022356
ENSDARG00000001129	0.9284476801746668	5.880644246226683
ENSDARG00000001162	0.981808916008559	5.508667127967321
ENSDARG00000001169	0.761400258405426	4.843745944084972
ENSDARG00000001210	0.9411299050650499	6.5544571571552
ENSDARG00000001220	0.958658738321328	4.567390148716726
ENSDARG00000001234	0.8598891106491353	8.050047835882998
ENSDARG00000001241	0.92625648287305	3.3054646897860778
ENSDARG00000001244	0.8714239226292073	2.9811544956200056
ENSDARG00000001249	0.905801626297128	5.3243779182249655
ENSDARG00000001259	0.5974825944578441	3.5520986074894254
ENSDARG00000001313	0.9876491139889856	9.888172305576223
ENSDARG00000001354	0.8442361539880152	4.9279625107692
ENSDARG00000001414	0.920616747188982	9.13314037776467
ENSDARG00000001431	0.9960109691960355	7.186304773565789
ENSDARG00000001437	0.9775937942284526	11.391690118331068
ENSDARG00000001442	0.9875559795917146	5.157254163375283
ENSDARG00000001447	0.9636344824489143	5.243475946129445
ENSDARG00000001452	0.9859914885859288	8.957744026056343
ENSDARG00000001463	0.9839600500979916	7.520815565496863
ENSDARG00000001470	0.9231785335206935	8.884343374424056
ENSDARG00000001549	0.900089541418481	5.214650785924269
