sample	assembly	technical_replicate	biological_replicate	batch	original_timepoint	mpf	hpf	stage
ERR1442727	GRCz11	1-4-somites-2	1-4-somites	white	1-4-somites	619.8	10.33	1-4-somites
ERR1442817	GRCz11	1-4-somites-2	1-4-somites	white	1-4-somites	619.8	10.33	1-4-somites
ERR1442907	GRCz11	1-4-somites-2	1-4-somites	white	1-4-somites	619.8	10.33	1-4-somites
ERR1442638	GRCz11	1-4-somites-3	1-4-somites	white	1-4-somites	619.8	10.33	1-4-somites
ERR1442728	GRCz11	1-4-somites-3	1-4-somites	white	1-4-somites	619.8	10.33	1-4-somites
ERR1442818	GRCz11	1-4-somites-3	1-4-somites	white	1-4-somites	619.8	10.33	1-4-somites
ERR1442908	GRCz11	1-4-somites-3	1-4-somites	white	1-4-somites	619.8	10.33	1-4-somites
ERR1442639	GRCz11	1-4-somites-4	1-4-somites	white	1-4-somites	619.8	10.33	1-4-somites
ERR1442729	GRCz11	1-4-somites-4	1-4-somites	white	1-4-somites	619.8	10.33	1-4-somites
ERR1442819	GRCz11	1-4-somites-4	1-4-somites	white	1-4-somites	619.8	10.33	1-4-somites
ERR1442909	GRCz11	1-4-somites-4	1-4-somites	white	1-4-somites	619.8	10.33	1-4-somites
ERR1442640	GRCz11	1-4-somites-5	1-4-somites	white	1-4-somites	619.8	10.33	1-4-somites
ERR1442730	GRCz11	1-4-somites-5	1-4-somites	white	1-4-somites	619.8	10.33	1-4-somites
ERR1442820	GRCz11	1-4-somites-5	1-4-somites	white	1-4-somites	619.8	10.33	1-4-somites
ERR1442910	GRCz11	1-4-somites-5	1-4-somites	white	1-4-somites	619.8	10.33	1-4-somites
ERR1442641	GRCz11	1k-cell-1	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442731	GRCz11	1k-cell-1	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442821	GRCz11	1k-cell-1	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442911	GRCz11	1k-cell-1	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442642	GRCz11	1k-cell-2	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442732	GRCz11	1k-cell-2	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442822	GRCz11	1k-cell-2	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442912	GRCz11	1k-cell-2	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442643	GRCz11	1k-cell-3	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442733	GRCz11	1k-cell-3	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442823	GRCz11	1k-cell-3	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442913	GRCz11	1k-cell-3	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442644	GRCz11	1k-cell-4	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442734	GRCz11	1k-cell-4	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442824	GRCz11	1k-cell-4	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442914	GRCz11	1k-cell-4	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442645	GRCz11	1k-cell-5	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442735	GRCz11	1k-cell-5	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442825	GRCz11	1k-cell-5	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442915	GRCz11	1k-cell-5	1k-cell	white	1k-cell	180	3	1k-cell
ERR1442646	GRCz11	1-cell-1	1-cell	white	1-cell	0	0	1-cell
ERR1442736	GRCz11	1-cell-1	1-cell	white	1-cell	0	0	1-cell
ERR1442826	GRCz11	1-cell-1	1-cell	white	1-cell	0	0	1-cell
ERR1442916	GRCz11	1-cell-1	1-cell	white	1-cell	0	0	1-cell
ERR1442647	GRCz11	1-cell-2	1-cell	white	1-cell	0	0	1-cell
ERR1442737	GRCz11	1-cell-2	1-cell	white	1-cell	0	0	1-cell
ERR1442827	GRCz11	1-cell-2	1-cell	white	1-cell	0	0	1-cell
ERR1442917	GRCz11	1-cell-2	1-cell	white	1-cell	0	0	1-cell
ERR1442648	GRCz11	1-cell-3	1-cell	white	1-cell	0	0	1-cell
ERR1442738	GRCz11	1-cell-3	1-cell	white	1-cell	0	0	1-cell
ERR1442828	GRCz11	1-cell-3	1-cell	white	1-cell	0	0	1-cell
ERR1442918	GRCz11	1-cell-3	1-cell	white	1-cell	0	0	1-cell
ERR1442649	GRCz11	1-cell-4	1-cell	white	1-cell	0	0	1-cell
ERR1442739	GRCz11	1-cell-4	1-cell	white	1-cell	0	0	1-cell
ERR1442829	GRCz11	1-cell-4	1-cell	white	1-cell	0	0	1-cell
ERR1442919	GRCz11	1-cell-4	1-cell	white	1-cell	0	0	1-cell
ERR1442650	GRCz11	1-cell-5	1-cell	white	1-cell	0	0	1-cell
ERR1442740	GRCz11	1-cell-5	1-cell	white	1-cell	0	0	1-cell
ERR1442830	GRCz11	1-cell-5	1-cell	white	1-cell	0	0	1-cell
ERR1442920	GRCz11	1-cell-5	1-cell	white	1-cell	0	0	1-cell
